game,name,split,first_plotted_idx,first_plotted_status,first_plotted_info,first_valid_idx,first_valid_it,first_valid_info,first_train_score,ship_idx,ship_it,ship_info,ship_train_score,ship_mean_out_chars,ship_diversity,first_diversity,absolute_change,relative_change,log_change,valid_incumbents,n_frames,mean_raw_gz,mean_grid_cells,mean_nonmodal_cells,mean_colors,raw_mean_chars,train_test_shared_frames,test_frame_overlap_fraction,up_jumps,down_jumps,flat_incumbent_updates,monotonic
diffusion,Diffusion,train,1,ok,1.233411243321285,1,1,1.233411243321285,0.15346256684491977,28,38,1.2371731944441133,0.5368181818181819,112.2280701754386,0.7114449845338047,0.9739284136102518,0.0037619511228283997,0.0030500379684381684,0.0030453960389460366,8,114,82.60526315789474,81.0,19.30701754385965,4.0,729.7017543859649,0,0.0,2,3,2,0
diffusion,Diffusion,test,1,ok,1.1867259763559637,1,1,1.1867259763559637,0.15346256684491977,28,38,1.1629061004026424,0.5368181818181819,119.8,0.7230910763569457,0.9875804967801288,-0.023819875953321246,-0.020071925977776295,-0.020276103865853976,8,85,92.72941176470589,81.0,21.2,4.0,723.0,0,0.0,2,3,2,0
dino,Dino,train,1,ok,0.6903218656837685,1,1,0.6903218656837685,0.08333333333333333,18,25,0.9096010764007242,0.9359649122807017,86.48543689320388,0.25634856990109595,0.24164661855118952,0.21927921071695566,0.31764778376208347,0.27584816498120796,7,103,104.41747572815534,400.0,9.466019417475728,3.854368932038835,3629.864077669903,20,0.21978021978021978,4,1,1,0
dino,Dino,test,1,ok,0.6885173572963549,1,1,0.6885173572963549,0.08333333333333333,18,25,0.9074560574891578,0.9359649122807017,86.37362637362638,0.26117149758454106,0.2623792270531401,0.21893870019280293,0.31798573830080845,0.27610461530918273,7,91,104.62637362637362,400.0,9.351648351648352,3.901098901098901,3630.0,20,0.21978021978021978,4,1,1,0
dq8gc,Disease,train,1,ok,0.6235491773843898,1,2,0.6235491773843898,0.558386524822695,29,40,1.0449997778797877,0.7325429078014184,104.69565217391305,0.5638443935926774,0.25720823798627,0.42145060049539795,0.6758899149915689,0.516344316723402,5,92,86.72826086956522,256.0,4.934782608695652,2.532608695652174,2348.6195652173915,5,0.08196721311475409,3,0,1,1
dq8gc,Disease,test,1,ok,0.6268464478221075,1,2,0.6268464478221075,0.558386524822695,29,40,1.0672967672795957,0.7325429078014184,104.77049180327869,0.5731115731115731,0.2661122661122661,0.44045031945748814,0.7026446763601719,0.5321827342035336,5,61,83.65573770491804,256.0,4.934426229508197,2.5081967213114753,2349.1803278688526,5,0.08196721311475409,3,0,1,1
eahcw,Paint,train,1,ok,0.8342770022153371,1,1,0.8342770022153371,0.7192081560283689,28,37,1.2123372752960508,0.9069840425531914,205.52564102564102,0.681383370125092,0.3443708609271523,0.37806027308071377,0.453159169049145,0.37373992370148784,5,78,106.82051282051282,256.0,17.576923076923077,3.358974358974359,2315.5,1,0.02040816326530612,3,1,0,0
eahcw,Paint,test,1,ok,0.7202414770288234,1,1,0.7202414770288234,0.7192081560283689,28,37,1.1275995054208439,0.9069840425531914,128.51020408163265,0.6932972241029113,0.32159783344617465,0.4073580283920205,0.5655853507249742,0.44825978008416817,5,49,93.16326530612245,256.0,9.428571428571429,3.5918367346938775,2326.1020408163267,1,0.02040816326530612,3,1,0,0
egg,Egg,train,1,ok,1.2664995480404904,1,2,1.2664995480404904,0.6000425531914894,8,13,1.9621219298069552,0.8650290780141845,325.8918918918919,1.410569105691057,1.124274099883856,0.6956223817664648,0.5492480300073708,0.43776967128100497,5,74,78.63513513513513,256.0,20.945945945945947,3.0,2063.675675675676,35,0.5833333333333334,3,0,1,1
egg,Egg,test,1,ok,1.2576793630122112,1,2,1.2576793630122112,0.6000425531914894,8,13,1.9481126017449024,0.8650290780141845,324.43333333333334,1.5053533190578159,1.2098501070663812,0.6904332387326912,0.5489739746377533,0.4375927598976881,5,60,78.95,256.0,20.816666666666666,3.0,2063.9166666666665,35,0.5833333333333334,3,0,1,1
f5w3n,Space Invaders,train,1,ok,0.9988916545697157,1,3,0.9988916545697157,0.03558558558558558,20,30,0.7650659931296308,0.5824324324324324,77.92727272727272,0.43187134502923974,0.47426900584795323,-0.233825661440085,-0.2340851086004999,-0.26668422324802915,10,110,95.13636363636364,256.0,10.6,4.218181818181818,2323.4545454545455,2,0.02127659574468085,3,3,3,0
f5w3n,Space Invaders,test,1,ok,1.0181372516172589,1,3,1.0181372516172589,0.03558558558558558,20,30,0.7828966704539325,0.5824324324324324,82.95744680851064,0.4296221999331327,0.4754262788365095,-0.23524058116332636,-0.23104996972624148,-0.2627292917259491,10,94,97.90425531914893,256.0,11.47872340425532,4.319148936170213,2323.574468085106,2,0.02127659574468085,3,3,3,0
logic_gates,Logic Gates,train,1,ok,1.5308563990729158,1,2,1.5308563990729158,0.058350981902194836,17,20,1.7732026257716962,0.2847700872801951,1124.7692307692307,1.0222222222222221,0.49696969696969695,0.24234622669878036,0.15830761581918784,0.1469599879316886,5,13,163.46153846153845,576.0,99.0,5.846153846153846,5247.7692307692305,13,1.0,2,1,1,0
logic_gates,Logic Gates,test,1,ok,1.5308563990729158,1,2,1.5308563990729158,0.058350981902194836,17,20,1.7732026257716962,0.2847700872801951,1124.7692307692307,1.0222222222222221,0.49696969696969695,0.24234622669878036,0.15830761581918784,0.1469599879316886,5,13,163.46153846153845,576.0,99.0,5.846153846153846,5247.7692307692305,13,1.0,2,1,1,0
n2ntd,Mario,train,1,ok,1.297596280301849,1,1,1.297596280301849,0.4333830104321908,16,20,1.1602271588004176,0.7903471187282664,121.48543689320388,0.36860407352210633,0.4048683556880278,-0.13736912150143143,-0.1058642996953385,-0.11189772527760998,4,103,94.49514563106796,144.0,16.883495145631066,4.747572815533981,1356.7961165048544,9,0.0989010989010989,1,2,0,0
n2ntd,Mario,test,1,ok,1.313698697271746,1,1,1.313698697271746,0.4333830104321908,16,20,1.1541104216425937,0.7903471187282664,126.75824175824175,0.38856812933025403,0.4289838337182448,-0.15958827562915223,-0.12148012018325116,-0.12951674233754712,4,91,96.56043956043956,144.0,18.032967032967033,4.912087912087912,1355.2747252747254,9,0.0989010989010989,1,2,0,0
s2kt7,Ants,train,1,ok,0.673007858990243,1,2,0.673007858990243,0.09006194180351484,23,35,1.5880803746384735,0.3768063958513397,172.45283018867926,0.8501043841336117,0.30313152400835075,0.9150725156482306,1.3596758246198979,0.8585242471532376,3,106,77.12264150943396,256.0,3.4339622641509435,2.849056603773585,2330.735849056604,4,0.045454545454545456,2,0,0,1
s2kt7,Ants,test,1,ok,0.6752712950397373,1,2,0.6752712950397373,0.09006194180351484,23,35,1.6116416616781073,0.3768063958513397,161.6590909090909,0.8310571573090542,0.29033889731917045,0.93637036663837,1.3866580343582768,0.8698940754089134,3,88,75.11363636363636,256.0,2.840909090909091,2.7613636363636362,2332.0,4,0.045454545454545456,2,0,0,1
va6fq,Sand,train,1,ok,1.4479574950802634,1,1,1.4479574950802634,0.36004395604395606,24,32,1.604597949605075,0.47003296703296704,216.52884615384616,0.7418122270742358,0.8706331877729258,0.15664045452481168,0.10818028502703303,0.10271928720717198,4,104,97.09615384615384,100.0,39.24038461538461,5.105769230769231,879.4711538461538,1,0.010638297872340425,3,0,0,1
va6fq,Sand,test,1,ok,1.3289054014194326,1,1,1.3289054014194326,0.36004395604395606,24,32,1.4944415801338262,0.47003296703296704,209.40425531914894,0.6804123711340206,0.7913887204366282,0.16553617871439363,0.1245658107323373,0.11739701514435144,4,94,102.74468085106383,100.0,37.319148936170215,5.159574468085107,901.6702127659574,1,0.010638297872340425,3,0,0,1
