game,split,parent,idx,iteration,p_same,k_same,nonempty_k,delta_info,delta_score
7www9,test,14,16,22,0,1,1,0.0998481401117457,-0.032971014492753636
7www9,test,11,17,23,0,1,1,-0.042792060047891045,0.028170289855072417
7www9,test,14,18,24,1,0,1,0.0,-0.028532608695652217
7www9,test,16,19,25,0,1,1,0.3727168249732431,0.01666666666666672
7www9,test,18,20,27,0,1,1,0.25980963343859353,0.0
7www9,test,3,21,28,1,0,0,0.0,0.020018115942028958
7www9,test,13,22,31,0,1,1,0.0052941176470588935,0.008514492753623149
7www9,test,17,23,32,1,0,1,0.0,0.0
7www9,test,20,27,37,0,1,1,0.0876735576433334,-0.0455615942028984
7www9,test,13,28,38,0,1,1,0.0052941176470588935,-0.020742753623188448
7www9,test,23,29,39,0,1,1,0.004705882352941115,0.00851449275362326
7xf97,train,2,3,4,1,0,0,0.0,-0.13163900709219858
7xf97,train,2,4,5,0,1,0,0.2511003139595913,-0.10327517730496455
7xf97,train,1,5,6,0,1,0,0.8278101413029226,0.0033035460992907606
7xf97,train,5,6,7,0,1,0,0.42824818457821356,-0.03999007092198581
7xf97,train,3,7,8,1,0,1,0.0,0.22334468085106382
7xf97,train,6,8,10,0,1,0,-0.08807810735139476,0.07555177304964536
7xf97,train,7,10,12,1,0,1,0.0,0.19940212765957444
7xf97,train,10,11,13,0,1,1,-0.1054278698319937,-0.046639716312056656
7xf97,train,4,12,16,1,0,0,0.0,0.10164468085106382
7xf97,train,11,14,18,0,1,1,0.06564998272940437,0.0010680851063828989
7xf97,train,10,15,19,0,1,1,0.1507119176584848,-0.046639716312056656
7xf97,train,11,16,20,1,0,1,0.0,0.012800709219858208
7xf97,train,7,17,21,0,1,1,0.08587204248732871,0.06831134751773049
7xf97,train,14,19,23,0,1,1,-0.00985036335877365,-0.014388652482269504
7xf97,train,17,20,24,1,0,1,0.0,0.0402819148936171
7xf97,train,19,21,25,0,1,1,0.19187724457860145,-0.04278794326241131
7xf97,train,3,22,26,0,1,1,-0.15433893362869822,0.14665390070921983
7xf97,train,19,23,27,0,1,1,0.2860767284000163,0.08716382978723403
7xf97,train,23,24,28,1,0,1,0.0,-0.10440709219858157
7xf97,train,15,25,29,0,1,1,-0.11807130288498313,-0.18272836879432625
7xf97,train,15,26,30,0,1,1,-0.28808690520827085,0.01112765957446804
7xf97,train,21,28,32,1,0,1,0.0,0.05889929078014189
7xf97,train,25,29,33,0,1,1,0.0857325931900561,0.15522588652482266
7xf97,test,2,3,4,1,0,0,0.0,-0.13163900709219858
7xf97,test,2,4,5,0,1,0,0.2508516442428319,-0.10327517730496455
7xf97,test,1,5,6,0,1,0,0.7819039006909245,0.0033035460992907606
7xf97,test,5,6,7,0,1,0,0.4441954607181269,-0.03999007092198581
7xf97,test,3,7,8,1,0,1,0.0,0.22334468085106382
7xf97,test,6,8,10,0,1,0,-0.08913490507789135,0.07555177304964536
7xf97,test,7,10,12,1,0,1,0.0,0.19940212765957444
7xf97,test,10,11,13,0,1,1,-0.12168754956865602,-0.046639716312056656
7xf97,test,4,12,16,1,0,0,0.0,0.10164468085106382
7xf97,test,11,14,18,0,1,1,0.05914780706064815,0.0010680851063828989
7xf97,test,10,15,19,0,1,1,0.15287852310221894,-0.046639716312056656
7xf97,test,11,16,20,1,0,1,0.0,0.012800709219858208
7xf97,test,7,17,21,0,1,1,0.0449605140400644,0.06831134751773049
7xf97,test,14,19,23,0,1,1,-0.007192457632930749,-0.014388652482269504
7xf97,test,17,20,24,1,0,1,0.0,0.0402819148936171
7xf97,test,19,21,25,0,1,1,0.20956296856081158,-0.04278794326241131
7xf97,test,3,22,26,0,1,1,-0.17055414921389755,0.14665390070921983
7xf97,test,19,23,27,0,1,1,0.2778266622181804,0.08716382978723403
7xf97,test,23,24,28,1,0,1,0.0,-0.10440709219858157
7xf97,test,15,25,29,0,1,1,-0.1633359729948829,-0.18272836879432625
7xf97,test,15,26,30,0,1,1,-0.30213717319312217,0.01112765957446804
7xf97,test,21,28,32,1,0,1,0.0,0.05889929078014189
