arm,game,idx,iteration,parents,depth,train_score,is_ship,on_ship_lineage,status,err_rate,split,code_chars,code_lines,sloc,ast_nodes,n_frames,n_unique_outputs,set_ratio,decoy_collapse,mean_raw_chars,mean_out_chars,dl_ratio,diversity_bytes,raw_gzip_bytes,norm_diversity,info_extraction_ratio,lzma_ratio,twopart_ratio,pf_dl_gz_ratio,code_gzip_bytes,out_vocab,n_transitions,static_rate,change_ratio
Plain,7www9,19,25,16,6,0.9340579710144927,0,0,ok,0.0,test,4353,123,96,833,50,50,1.0,,2330.08,106.26,0.045603584426285794,396,1226,0.32300163132137033,1.429542637834163,0.5339805825242718,1.5864600326264273,1.515340898340883,1549,56,50,0.02,0.8367346938775511
Plain,7www9,19,25,16,6,0.9340579710144927,0,0,ok,0.0,train,4353,123,96,833,56,56,1.0,0.0,2330.1071428571427,105.58928571428571,0.04531520622902074,420,1383,0.3036876355748373,1.4163325725096385,0.4935064935064935,1.4237165582067968,1.498565457199883,1549,62,60,0.05,0.7807017543859649
Plain,7www9,20,27,18,6,0.9218297101449274,0,0,ok,0.0,test,2882,94,72,576,50,50,1.0,,2330.08,98.52,0.04228181006660715,771,1226,0.6288743882544862,1.2167873061877676,0.9174757281553398,1.5897226753670473,1.4044410648245025,1178,147,50,0.02,2.326530612244898
Plain,7www9,20,27,18,6,0.9218297101449274,0,0,ok,0.0,train,2882,94,72,576,56,56,1.0,0.0,2330.1071428571427,97.60714285714286,0.041889551369495584,825,1383,0.596529284164859,1.2062017627603616,0.8658008658008658,1.448300795372379,1.385468041532269,1178,165,60,0.05,2.3596491228070176
Plain,7www9,21,28,3,2,0.7718297101449275,0,0,ok,0.0,test,2236,66,48,369,50,50,1.0,,2330.08,50.24,0.021561491450937307,368,1226,0.300163132137031,0.840591870770358,0.470873786407767,1.1272430668841762,0.7162527471438862,1014,72,50,0.02,1.0
Plain,7www9,21,28,3,2,0.7718297101449275,0,0,ok,0.0,train,2236,66,48,369,56,56,1.0,0.0,2330.1071428571427,49.57142857142857,0.021274312953113744,393,1383,0.2841648590021692,0.8321684672510067,0.4329004329004329,1.017353579175705,0.7036758592486986,1014,83,60,0.05,1.0
Plain,7www9,22,31,13,5,0.8755434782608695,0,0,ok,0.0,test,2619,91,69,600,50,50,1.0,,2330.08,75.24,0.03229073679873652,401,1226,0.3270799347471452,1.1267004181475977,0.5194174757281553,1.2063621533442088,1.0728532475429784,1078,90,50,0.02,1.2244897959183674
Plain,7www9,22,31,13,5,0.8755434782608695,0,0,ok,0.0,train,2619,91,69,600,56,56,1.0,0.0,2330.1071428571427,74.57142857142857,0.03200343331851693,422,1383,0.3051337671728127,1.1159312848389322,0.47619047619047616,1.0845986984815619,1.0584164999543333,1078,107,60,0.05,1.4298245614035088
Plain,7www9,23,32,17,5,0.9170289855072463,0,0,ok,0.0,test,3303,97,68,611,50,50,1.0,,2330.08,55.24,0.023707340520497153,381,1226,0.3107667210440457,0.9141856127012831,0.47572815533980584,1.429037520391517,0.7875728472237046,1371,52,50,0.02,0.7551020408163265
Plain,7www9,23,32,17,5,0.9170289855072463,0,0,ok,0.0,train,3303,97,68,611,56,56,1.0,0.0,2330.1071428571427,54.57142857142857,0.02342013702619438,403,1383,0.2913955169920463,0.9048879377318865,0.44155844155844154,1.2827187274041938,0.7746239873898256,1371,58,60,0.05,0.7807017543859649
Plain,7www9,24,33,19,7,0.0,0,0,syntax,1.0,test,8922,227,174,-1,50,1,0.02,,2330.08,0.0,0.0,24,1226,0.01957585644371941,0.2852804003192737,0.0825242718446602,2.3980424143556283,0.0,2916,0,50,1.0,0.0
Plain,7www9,24,33,19,7,0.0,0,0,syntax,1.0,train,8922,227,174,-1,56,1,0.017857142857142856,1.0,2330.1071428571427,0.0,0.0,24,1383,0.01735357917570499,0.28379251256450777,0.0735930735930736,2.125813449023861,0.0,2916,0,60,1.0,0.0
